id,title,text,unknownEntities
,,温格的球队终于又踢了一场经典的比赛，2比1战胜曼联之后枪手仍然留在了夺冠集团之内，,曼联;
,,看来各支一二流的国家队也开始走出欧洲杯后低迷，从本期对阵情况看，似乎冷门度也不太高，你认为呢？,欧洲杯;
,,就天涯网推出彩票服务频道是否是业内人士所谓的打政策“擦边球”，记者近日对此事求证彩票监管部门。,彩票监管部门;天涯网;
,,本报讯（记者王吉瑛）双色球即将出台新规，一等奖最高奖金可达到1000万元。昨天，中彩中心透露，,中彩中心;
,,结果上周六他们主场0：3惨败给了中游球队瓦拉多利德，近7个多月以来西甲首次输球。,瓦拉多利德;
,,价格高昂的大钻和翡翠消费为何如此火？通灵珠宝总裁沈东军认为，这与原料稀缺有直接关系。“,通灵珠宝;
,,Svensson在接受媒体采访时表示，CAPCOM并没有放弃《街霸》电影系列，将推出新的《,CAPCOM;
,,莫斯科中央陆军vs波兹南、拉科vs费耶诺德、加拉塔萨雷vs梅塔利斯特，,莫斯科中央陆军;
,,至大约2008年5月，san-hothk在星展银行的账户内的资金已不足以让san-hot,san-hothk;
,,宝玺，6月4日在北京保利拍至5656万元。,北京保利;
,,都灵vsac米兰推荐：3/1,都灵;
,,腾讯新闻昨天金庸逝世江湖再无金大侠订阅号消息昨天【15条】王者荣耀福利抢鲜看!队友的京东京东jd.,腾讯新闻;
,,光大三家银行信用卡专业人士分别就境外购买1000欧元、1000英镑和1万港币的商品，,光大;
,,4、雷吉纳vsac米兰推荐：0,雷吉纳;
,,现在的阿森纳恐怕不能再给人以强队的信心，但教授的神经也真是够硬，在英超夺冠几无希望的情况下，,英超;
,,欧美知名游戏开发公司“Relic”，继成功推出史上最畅销的二战即时战略游戏《英雄连》,Relic;
,,《火爆狂飙：天堂》是由CriterionGames制作，,CriterionGames;
,,金石开：阿森纳实际受到国家队的冲击并不大，像范佩西只在与挪威的下半场才替补出场，,阿森纳;
,,还是得到一定程度的实现。而最近香港电影的相关新闻，也逐渐的多了起来，如银都机构出品的《十分钟情》（,银都机构;
,,在2007年，与新韩银行签订了3年之内赞助50亿韩元的协定。退出了“新韩银行职业联赛”,新韩银行职业联赛;新韩银行;
,,工艺行业协会要加强政策宣传和技术引导，对已售出的红木家具产品，有严重质量问题的，要主动召回服务，,工艺行业协会;
,,由林达集团投资开发的海渔广场就位于东四环内四方桥南，首期推出精装公寓海洋公寓——,林达集团;
,,但深发展已经成为国内第一个实际盈利的信用卡部门。,深发展;
,,姜山：切尔西在周中做客意大利时1比3惨败给近况糟糕的罗马，,切尔西;
,,而哈文则去了天津电视台。每次做完节目，李咏就马不停蹄地往天津赶，朋友和同事们有事要找李咏，,天津电视台;
,,有吉林的玉米加工企业负责人告诉记者，鉴于此前加工企业没有原料可收，7月初，,玉米加工企业;
,,约翰森回到厄普顿公园球场都要面对主队球迷的嘘声，缺少索尔-坎贝尔在后防压阵，估计庞贝军团很难爆大冷。,庞贝军团;
,,中国内地邮票由原来国家邮政局改成由现在的中国邮政集团公司印制发行，从此政企分开，,中国邮政集团公司;
,,内地分行也可以申请（除了深圳总行，广州的招行广州分行营业部也有授权）。他们收取了你的《申请表》,深圳总行;
